"SpeciesID","GenusID","Species","SAuthor","NameDK","NameUK","SBiolEuDK","SBiolEuUK","SCharDK","SCharUK","MSize","FSize","SHabEuDK","SHabEuUK","SHabDkDK","SHabDkUK","SDistriEuDK","SDistriEuUK","SDistriDkDK","SDistriDkUK"
240,68,"alpigena","(Doleschall, 1852)","Fjeld-graveedderkop","Alpine bear-spider",,,,"The overall colouration of the species is reddish brown. Posterior end of carapace with two blackish dots. The legs are brown with dark annulations. The pale, very clear whitish cardiac mark is relatively wide and outlined by thin black line. Sometimes the cardiac mark is truncated at rear. Behind the cardiac mark there are some light transverse lines. The male and female have similar coloration.","5-8","7-10",,,,,,,,
241,68,"lutetiana","(Simon, 1876)",,,,,,,,,,,,,,,,
242,69,"piscatorius","(Clerck, 1757)","Stor piratjagtedderkop",,,,"Den største <i>Pirata</i> art med kontrastrige tegninger. Hoved og bagkrop med lange hår. Hunnens forkrop er mørkebrun med stemmegaffel tegning i lysere område bag hovedregionen. Laterale bånd utydelige. Langs margin ses et tyndt bånd af hvide hår. Bagkrop med gulbrunt hjertemærke og hvide punktrækker. Ben rødbrune. Hannens forkrop er sort med grønbrunmidterstribe. Området mellem gaflerne i stemmegaffel tegningen er sort. Typisk med brede, hvide bånd langs margen dannet af tætte hvide hår. Bagkrop med tydelige punktrækker og kontrastrig hvid stribe langs siderne. Hjertemærket er rødbrunt. Hannen kan forveksles med arter af <i>Dolomedes</i>.","Largest <i>Pirata</i> species with constrasting markings. Head region and abdomen with long hairs. The male may be mistaken for species of the <i>Dolomedes</i> genus. Female carapace dark brown with tune fork marking in light area behind the head. Lateral bands indistinct. A thin line of white hairs is present along the margin. Abdomen with yellow brown cardiac mark and paired white spots. Legs reddish-brown. Male carapace blackish with greenish-brown median band. The area between the forks in the tune fork-shaped marking is black. Typically there is a wide band along the margin densely clothed with white hairs. Abdomen with clear paired spots, and contrasting white bands along sides. Cardiac mark reddish-brown.","5-8","6-10","Især tørvemoser.","Mainly peat bogs.",,,"Lokalt almindelig i egnet habitat i Jylland. Meget sjælden eller manglende i øvrige dele af landet. Vidt udbredt i Europa men ret ualmindelig.","In Denmark this species is locally common in suitable habitats in the western parts of the country. Rare or absent in eastern parts. Widespread in Europe but generally uncommon.",,
243,69,"piraticus","(Clerck, 1757) ","Almindelig piratjagtedderkop","Pirate otter-spider",,,"Forkrop mørk gulbrun med midterbåndet og de laterale bånd gulbrune. Yderst, langs randen af forkroppen ses en kantlinie af hvide hår. Stemmegaffel tegning i midterbåndet tydelig, og gaffelens to arme når frem til anden øjenrække. Bagkrop rødbrun med gult hjertemærke er omkranset af tynde hvide linier, der mødes bagerst på bagkroppen. Endvidere to tynde hvide linier langs bagkroppens sider og to rækker hvide punkter. Ben gulgrønne til gulbrune. Hannen lig hunnen, bortset fra de hvide linier omkring hjertemærket, som er reduceret eller manglende. Begge køn med sorte pletter på sternum.","Carapace dark yellow-brown with median and lateral bands yellow-brown. Margins with thin white line composed of white hairs. The tune fork marking in the median band is distinct with the arms of the fork reaching the posterior medial eyes. Abdomen reddish-brown with yellow cardiac mark outlined by thin white lines converging at rear. White lines are also present at the sides of the abdomen as well as rear half is marked with paired white spots. Legs yellow-green to yellow-brown. Male similar to female but white lines around the cardiac mark are reduced or absent. Both sexes are furnished with dark spots on the sternum.","5-6.5","6-9","Fugtige naturtyper, især med stillestående vand, både lysåbent og i halvskygge.","Open or semi-shaded marshy areas with mostly stagnant water.",,,"Vidt udbredt og almindelig i Danmark og Europa. Slægtens almindeligste art.","Widespread and common in Denmark and Europe. The commonest species of the genus.",,
244,69,"tenuitarsis","Simon, 1876",,,,,"Ligner <i>P. piraticus</i> meget, og har også været forvekslet med denne art. <i>Pirata tenuitarsus</i> mangler dog de tynde hvide linier omkring hjertemærket, der også er mere utydeligt. De hvide punktrækker og de hvide bånd i bagkropssiderne er til gengæld mere veludviklede hos denne art i forhold til <i>P. piraticus</i>. Ben ensfarvede grønlig brune uden ringtegninger.","Resemble <i>P. piraticus</i>, a species it has been confused with in the past. However, <i>P. tenuitarsus</i> lacks the thin white lines at sides of cardiac mark which also is less distinct. The white paired spots and light bands a sides of abdomen are well-developed compared to those of <i>P. piraticus</i>. Legs greenish-brown without annulations.","4-6","5-8","Samme som <i>P. piraticus</i> men betydeligt sjældnere.","As <i>P. piraticus</i> but much rarer.",,,"Meget sjælden i Østjylland. Vidt udbredt i Europa og ualmindelig i de fleste regioner.","Very rare in Denmark with records from just one district. Widespread in Europe and iuncommon in most regions.",,
245,832,"hygrophilus","Thorell, 1872",,,,,"Ret mørk art med relativt utydelige tegninger. Forkrop med lyse udflydende laterale bånd der efterfølges udadtil af endnu et mørkt bånd før et smal kantstribe af lyst gulbrune hår. Brystpladen (sternum) er mørkebrun med lysegul midterbånd i tre fjerdedele af  sternums længde. Benene har som regel synlige ringtegninger på femora. Bagkrop spættet i forskellige brune nuancer og med utydeligt hjertemærke. De parrede hvide punkter er ikke så iøjnefladende hos denne art.","Dark species with rather indistinct markings. Carapace with indistinct light lateral bands, outwardly followed by a  darker band and finally a thin band along the edge of the carapace composed of  ligth yellow-brown hairs. Sternum dark brown with light median band stretching about three-quarters sternum length. Legs with annulations on femora but overall rather dark. Abdomen mottled in various shades of brown and with indistinct cardiac mark. Paired white spots are rather indistinct in this species.","4.5-5.5","5-6.5","Fugtige steder såsom moser, kær og fugtige skovsumpe.","Damp places such as marshes and forest swamps.",,,"Almindelig med fund fra alle distrikter pånær Bornholm. Vidt udbredt i Europa og almindelig.","Common in Denmark with records from all districts except the island of Bornholm. Widespread in Europe and common.",,
247,69,"uliginosus","(Thorell, 1856)",,,,,"Meget lig <i>P. hygrophilus</i> men som regel lidt mindre. Hunnens forkrop næsten sort med mørkt grønligbrunt midter- og sidebånd. Stemmegaffeltegning ret utydelig. Kantbånd af hvide hår mangler eller er meget svagtudviklede. Bagkrop mørkebrun med brunt midtbånd der bagtil har utydelige sildebenstegninger. Midtbåndet omslutter et lidt mørkere hjertemærke, der afgrænses mod siderne at utydelige sorte striber. Hvide punktrækker tydelige. Ben mørkt grønbrune med utydelige grønsorte ringtegninger.","Resemble <i>P. hygrophilus</i> but usually smaller. Female carapace blackish with dark greenish-brown median and lateral bands. Tune fork marking rather indistinct. White hairs along margins are reduced or lacking in this species. Abdomen dark brown with brown median band which contains vague chevrons towards the rear. The median band enclose a slightly darker cardiac mark with indistinct black borders at sides. Paired white spots distinctive. Leg dark greenish-brown with indistinct greenish-black annulations.","4-5","5-6","Fugtige, gerne skyggede steder f. eks i skove. Forekommer på mere tørre steder end de øvrige <i>Pirata</i> arter.","Damp, usually shaded areas such as woods. Often in drier places than other  <i>Pirata</i> species.",,,"Ret sjælden i Jylland, meget sjælden eller manglende i øvrige landsdele. Vidt udbredt i Europa og nogenlunde almindelig.","Rare in westerns parts of Denmark, very rare or absent in eastern parts. Widespread in Europe and fairly common.",,
248,832,"latitans","(Blackwall, 1841)",,,,,"Lille art med smalt, fremspringende sort hoved. Resten af forkroppen mørkebrunt, tyndt beklædt med lange lyse hår. Den slægtskarakteriske stemmegaffelformede tegning på forkroppen kan ikke erkendes. Ben ensfarvede mørkebrune. Bagkroppen fremtræder ret ensfarvet mørkebrun, med undtagelse af de parrede hvide punkter og nogle svage lyse striber langs bagkroppens sider. Hannen meget lig hunnen men mørkere, næsten sort. Hos dette køn er det forreste benpar tydeligt mørkere end de øvrige par.","Small species with narrow, protruding blackish head. Remaining carapace dark brown, sparsely clothed with fine light hairs. The genus specific tune fork-shaped marking on the carapace is indistinct due to the dark colouration. Legs dark brown. Abdomen appear almost uniform dark brown with the exception of the paired spots on rear half, and some vague light bands along sides. Male similar to female, but even darker, almost black. This sex has legs I darker than the rest.","2.5-4.5","4-5","Lysåbne bredzoner og moser.","Open, damp habitats such as bogs.",,,"Lokal og ret sjælden i Danmark med fund fra et begrænset antal jyske lokaliteter. Vidt udbredt i Europa, men generelt ualmindelig og lokal.","Local and uncommon in Denmark and Europe.",,
251,71,"mirabilis","(Clerck, 1757) ","Almindelig rovedderkop","Nursery-web spider",,,"Han og hun ret ens, men hanner er ofte lidt mørkere, og har lidt klarere farvetegninger. Trods stor variation er farvetegningerne meget karakteristiske. Farven varierer mellem grå, gulorange og mørkebrun. Forkroppen typisk med et bredt mørkt bånd, som indeholder en tynd hvid eller gullig midterstripe. Denne fortsætter ofte ud i en tilspidset hårdusk som stritter lige frem foran hovedet. Arten har nogle karakteristiske \"bakkenbarter\" på siden af hovedet. Bagkrop med lyse sider og mørkt bølget folium, der kan indeholde et lysere bånd eller svage sildebenstegninger. Ben ret tæt beklædt med små lyse og brune hår og virker ensfarvede på afstand.","Males generally similar to females but often sligthly darker and with more noticeable markings. The markings are variable but nevertheless very characteristic. The general colouration varies from grey to orange or shades of brown. Carapace often with broad dark median band enclosing a thin white or yellowish median stripe. Frequently, this stripe extends forward as a pointed hair tuft in front of the eyes. The species also possess some characteristic light \"side whiskers\" at sides of head. Abdomen with light sides and dark central folium which may contain a light central band or vague chevrons. Legs clothed with fine light and brown hairs, and appear uniform light brown from a distance.","10-12","11-15","Steder med lav vegetation, især overdrev, heder og lysåbne skovhabitater.  Arten er, i modsætning til familiens to øvrige danske arter i slægten <i>Dolomedes</i>, knyttet til tørre naturtyper.","Open places with usually tall herbs and low bushes such as grassland, heathland and woodland clearings. The species is found in dry habitats in contrast to members of the <i>Dolomedes</i> genus.",,,"Kendt fra alle landsdele og almindelig. Vidt udbredt i Europa og almindelig.","Widespread and common in Denmark and Europe.",,
252,72,"fimbriatus","(Clerck, 1757) ","Stor rovedderkop","Raft spider",,,"Hanner og hunner ret ens i udseende, men hanner har mindre bagkrop. Forkrop mørkebrun og som regel med iøjnefaldende brede hvide eller gullige laterale bånd dannet af lyse hår. Bagkrop mørkebrun med hvide eller gullige sidebånd. Ben er brune, tætbehåret med lyse hår, der kan have et blåligt skær på blitz billeder. Juvenile individer har grønlige ben.","Males are similar in appearance to females, but have smaller abdomens. Carapace dark brown usually with striking whitish or yellowish lateral bands composed of light hairs. Abdomen dark brown with white or yellowish sides. Legs brown with dense pubescense of light hairs which may appear bluish in flash photos. Legs of immatures are greenish.","10-16","15-22","Rigkær, fattigkær og tørvemoser, gerne hvor der er partier med åbne vandflader. Forekommer på relativt mere tørre steder end slægtens anden art, <i>D. plantarius</i>.","Damp, swampy habitats such as <i>Sphagnum</i> bogs, usually near patches of open water. The species is generally found at drier places than its close relative, <i>D. plantarius</i>.",,,"Vidt udbredt i Danmark og det meste af Europa men ret sjælden og lokal. I eksempelvis Sverige, og andre lande med mange skovsumpe, er arten ret almindelig. Juvenile dyr træffes langt hyppigere end adulte.","Widespread in Denmark and most of Europe but rather rare and local. The species is fairly common in a few countries such as Sweden having much suitable habitat. Immatures are encountered much more frequently than adults.",,
253,72,"plantarius","(Clerck, 1757)",,,,,"Meget lig <i>D. fimbriatus</i> men en anelse større, og som regel i en mere grønligbrun fremtræden. Arten mangler ofte de lyse sidebånd, men individer der har farvetegninger lig <i>D. fimbriatus</i> kan være vanskelige at artsbestemme med sikkerhed, uden at undersøge de udvendige kønsorganer med floralup eller stereolup.","Similar to <i>D. fimbriatus</i> but slightly larger, and usually more greenish-brown in colouration. The light lateral bands are often lacking, but some individuals possess markings that resemble those of <i>D. fimbriatus</i>. These individuals require examination of the genitialia using a lens or microscope.","10-16","15-25","Samme som <i>D. fimbriatus</i> men betydeligt sjældnere.","Similar to <i>D. fimbriatus</i> but much rarer.",,,"I Danmark kendes arten kun fra ganske få lokaliteter i Nordsjælland, hvor den dog kan være talrig. Meget spredt og lokal i Europa og rødlistet i de fleste lande.","In Denmark this species is known from very few localities in northern Zealand. Very scattered and local in Europe, and on endangered species lists in most countries.",,
254,73,"aquatica","(Clerck, 1757) ","Vandedderkop","Water Spider",,,"Mellemstor edderkop som er fuldstændig tilpasset et liv i vand. Forkrop lys til mørk gulbrun. Bagkrop tæt plyshåret. Oppe af vandet er bagkroppen ensfarvet gråsort. Under vandet er bagkroppens plyshår omgivet af et luftlag, der giver edderkoppen et sølvskinnende udseende. Ben har samme farve som forkroppen. De to bagerste benpar er forsynet med bræmmer af lange svømmehår, som er et godt feltkendetegn for både voksne og juvenile individer. Svømmehårene ses tydeligt med floralup når edderkoppen er i en hvid fotobakke med vand. Arten er en af få, hvor hannerne som regel er større end hunnerne. Retræten anlægges under vand, og består af et dykkerklokke-formet spind, som holdes fyldt med luft hentet ved overfladen. Arten er kendt for at kunne levere et smertefuldt bid.","Medium-sized spider fully adapted for an aquatic life-style. Carapace pale to dark yellowish brown. Abdomen with dense pubescense appearing velvet-grey on land. But  when in  water, air is trapped around the abdomen giving it a silvery appearance. Legs coloured as carapace. Legs III and IV are furnished with long fine hairs that aid in swimming. These swimhairs are easily seen with a lens when the spider is examined in a tray with water, and identifies both immatures and adults. The species is one of very few spider species where the male usually is larger than the female. They build a retreat in the form of an underwater diving-bell, which is kept filled with air collected at the surface. The species has a reputation of being able to deliver a painful bite.","10-15","8-12","Damme, langtsomt flydende vandløb, kanaler og lavvandede søer, som regel hvor der er veludviklede bestande af undervandsplanter.","Ponds, streams with little current and shallow lakes, usually where there is well-developed aquatic vegetation.",,,"Kendt fra det meste af Danmark, men lokal. Flest lokaliteter findes i egne med relativt uforurenede damme og småsøer. Hvor den forekommer er den ofte talrig. Total udbredelsen er palæarktisk med forekomster i Nord- og Mellemeuropa, og det nordlige Asien op til 62° grader nord. Arten er sjældnere i Mellemeuropa end i Nordeuropa.","The water spider is widely but locally distributed in Denmark. Most commonly found in areas with unpolluted ponds and lakes. It occurs throughout northern and central Europe, in central Asia and Siberia up to 62° latitude North (palearctic distribution). The species is commoner in northern Europe than in central Europe.",,
255,74,"labyrinthica","(Clerck, 1757) ","Labyrintedderkop","Labyrinth Spider",,,"Hunnens rygskjold mørkt rødbrun med lyse gråbrune laterale bånd og midterbånd dannet af tætte dunhår. Bagkroppens overside gråsort med gulbrunt midterbånd, der forrest er med lyse pletter i siden men som længere bagtil er forbudne med nogle bølgeformede tværstriber. Bagkroppens sider af samme farve som midterbåndet. Ben mørkt rødbrune men næsten overalt dækket af lyse gråbrune dunhår.","Female carapace dark reddish-brown with light greyish-brown pubescense forming median and lateral bands. Abdomen greyish-black dorsally with yellow-brown median band. Anteriorly, this band is flanked by pale spots, but further back the spots combine to form transverse sinuous bars. Sides of abdomen coloured as the median band. Legs reddish-brown but at most places covered by light greyish-brown pubescence.","8-12","10-14","Varme tørre steder med lav eller mellemhøj vegetation. I Danmark især kystoverdrev og klitter, men også varme overdrev, skovlysninger og skovkanter, gerne hvor der er lyng. Syd for Danmark træffes arten også i mere fugtige habitater såsom ekstensivt græssede enge.","Warm, dry places with low vegetation or bushes. In Denmark, this species is primarly found near the coasts, such as coastal grassland and dunes, but also sometimes at grassland, forests clearings and edges away from the coast. In countries to the south of Denmark this species is also found in damper habitats such as meadows with little grazing.",,,"Vidt udbredt i Danmark men ret lokal og ofte kystnært. Almindelig i lande syd for Danmark.","Widespread in Denmark, but local and usually near the coasts. Common in Europe, particularly in countries to the south of Denmark.",,
257,75,"denticulata","(Olivier, 1789) ",,,,,"Han og hun ret ens i udseende. Forkrop mørkebrun med lyst midterbånd. Hovedet smalt og med stejle sider, ikke ulig edderkopper fra slægten <i>Pardosa</i> (Lycosidae). Bagkrop mørkebrun med lys hestesko-formet tegning hvor armene længere tilbage på bagkroppen brydes i en serie parrede pletter. Mellem pletterne og inde i hestesko-tegningen ses svage, let rødlige sildebenstegninger som fremkommer ved at bagkroppens grundfarve skinner igennem, hvor beklædningen med lyse hår er lidt tyndere. Ben gulbrune med sorte ringtegninger og ringe af lyse hår.","Male similar to female in general appearance. Carapace dark brown with light median band. Head narrow and with steep sides, not unlike spiders of the <i>Pardosa</i> genus (Lycosidae). Abdomen dark brown with light horse-shoe shaped marking anteriorly. Further back on the abdomen this marking is broken in to a series of paired light spots. Between the spots and inside the horseshoe marking are vague, somewhat reddish chevrons due to less dense clothing of hairs, causing the ground colour of the abdomen to influence the colouration. Legs yellow-brown with dark annulations and rings of white hairs.","6-7","7-8","I Danmark især stendynger og -gærder. I Europa også lavt på træstammer i skove og i lav vegetation.","In Denmark mainly among piles of stones. In Europa also lower parts of stems in forests and among low vegetation.",,,"Lokalt udbredt i det meste af Danmark med undtagelse af Vestjylland. Vidt udbredt i Europa men lokal.","Locally distributed in most of Denmark. Widespread in Europe but local.",,
260,828,"atrica","C. L. Koch, 1843","Stor husedderkop",,"Om efteråret forlader de store, langbenede hanner deres spind for at opsøge hunner, og kommer i denne forbindelse ind beboede rum, hvor de gør sig bemærket på grund af størrelsen og deres hastige løb hen over gulvene.","The usually large and long-legged males leave their webs in autumn in search of females. They often ventures in to rooms inhabited by humans and cause some fright due to their size and speedy run across the floors.","Forkrop mørkt gråbrun med uregelmæssige, lyse midter- og sidebånd. Ben mørkt gråbrune. Bagkrop lysebrun, spættet med gråsorte hår. I midterlinien ses nogle parrede lyse pletter som længere tilbage forenes i sildebenstegninger. Brystpladen er mørk med bred lys midterstribe som smalner til bagtil og som flankeres af tre lyse pletter i hver side. Hannen meget lig hunnen men med betydeligt længere ben.","Carapace dark greyish-brown with irregular light median and lateral bands. Legs dark greyish-brown. Abdomen light brown, mottled with greyish-black hairs. Paired light spots are present in the median line. Posteriorly, the spots combine to form chevrons. Sternum dark with wide median band which narrows posteriorly. The band is flanked by three light spots at each side. Male similar to female, but with relatively longer legs.","10-15","12-18","Uopvarmede huse, under affald, i hulrum i træer og trærødder og i hulrum under større sten især i skove. Arten forvilder sig ofte ind i beboelse, især om efteråret, når de langbenede hanner opsøger hunner. Sommetider bliver de fanget i badekar og andre beholdere med glatte overflader og kan pga. størrelsen forårsage en del forskrækkelse hos araknofobe personer.","Unheated houses, under debris, in the hollows of trees, and under larger stones and rocks, particurlarly in woods. Males often stray into houses during autumn in search of females. Sometimes they get caught in tubs or other containers with slippery surfaces. Due to their size and hairyness, they often cause fright among arachnofobian people.",,,"Almindelig i Danmark med fund fra alle landsdele. Vidt udbredt i Europa og meget almindelig.","Common in Denmark with records from all districts. Widespread in Europe and generally common.",,
261,76,"parietina","(Fourcroy, 1785)",,,,,"Rygskjoldet mørkebrunt med bredt lyst midterbånd og brede laterale bånd. Langs kanten ses tre mørke pletter i hver side. Hos ældre dyr er kontraten mellem de mørke og lyse farver mindre tydeligt og rygskjoldet kan undertiden fremtræde næsten ensfarvet grå grundet ret tæt behåring med lyse hår. Brystplade med tre nogenlunde lige store lyse pletter ud for coxa I, II og III og med lys midterstribe. Nogle individer har dog ensfarvet brystplade. Langebenet art hvor benlængden er op til fem gange kropslængden hos hanner, hos hunner betydeligt kortere. Ben lyst gulbrune med mørkere ringetegninger tydligst på femora. Hos ældre individer er benene ofte ret ensfarvede brune. Bagkrop med gulbrunt midterbånd flankeret af ret store lyse pletter og nogle mindre, sorte. Bagkroppens sider er spættet med mindre pletter i de samme farver. Bagkroppen på ældre individer er lysere sommetider næsten ensfarvet lyst gulbrun med lange, relativt tynde hår.","Carapace dark brown with wide, light-coloured central and lateral bands. Margin with three dark-brown patches in each side. Older specimens may have less contrast between light and dark areas and sometimes even appear uniform grey partly due to dense clothing with light hairs. Sternum with three equal-sized patches opposite coxa I, II, and III, and with light median band, however these markings are usually absent in older specimens. This is a long-legged species with the length of legs almost five-times the body lenght in males, much less so in females. Legs light yellow-brown with darker annulations especially on the femora. Legs of older individuals often uniform brown. Abdomen with yellow-brown central band flanked by fairly large light pathes, and some smaller, dark ones. Sides of abdomen with smaller spots in the same colours. Abdomen of older specimens is lighter, sometimes uniform light brown with long, relatively thin hairs.","11-17","11-20","Udvendigt på især gamle bygninger, sjældnere indendørs. I Mellem- og Sydeuropa også i klipperevner.","Outsides of usually old buildings, and more rarely inside houses. In central and southern Europe also cracks in rock walls.",,,"Udbredt i sydlige dele af Nordeuropa og i Mellemeuropa, hvor arten er mere almindelig.  Artens nordgrænse ligger syd og øst for Danmark, men arten er også fundet indslæbt i Danmark og figurerer derfor på van Helsdingens lise over danske edderkopper. Arten regnes dog ikke som værende dansk i kataloget over danske edderkopper (Scharff & Sørensen 2006). I Syd- og Mellemeuropa træffes arten fra Portugal og østover til Rusland.",,,
262,76,"ferruginea","(Panzer, 1804)","Rustrød husedderkop",,,,"Ret stor edderkop som er mere farve- og kontrastrig i tegningerne end de øvrige husedderkop arter. Kan minde lidt om de i Danmark ikke forekommende arter, <i>T. parietina</i> og <i>T. duellica</i>, men bagkroppen afviger ved at have et tydligt rustrødt midterbånd. Forkrop mørkt gråbrun med meget irregulære lyse bånd. Ben mørkt gråbrune med tydlige lysebrune ringtegninger. Bagkrop med bred rustrød midstribe flankeret af lyse gulbrune pletter som er større fortil. Både midtstriben og de lyse pletter er omkranset af gråsorte streger og pletter. Den mørke brystplade har et smalt lyst midterbånd med to indsnævringer, og er flankeret af fire lyse pletter i hver side.","This species is one of the larger members of the genus, and is characterized by its contrasted markings and reddish abdomen. May resemble <i>T. parietina</i> og <i>T. duellica</i>, but the wide rust-coloured median band of the abdomen is distinctive. Carapace dark greyish-brown with very irregular light bands. Legs colured as dark parts of carapace with clear light brown annulations. The wide rusty median band is flanked by light yellowish-brown spots which increase in size anteriorly. Both the light spots and median band are bounded by black lines or spots. Sternum with a narrow light median band constricted twice, and is flanked by four light dots in each side.","9-11","11-14","Primært i skove, hvor forekomsten af arten kan virke ret koloniagtigt, idet der kan være mange individer på et mindre område. Spind anlægges typisk udvendigt på bygninger eller indvendigt i ubeboede og uopvarmede bygninger, ofte i vinduer hvor lyssøgende insekter har stor chance for at blive bytte. Undertiden anlægges spind dog også i mere naturlige omgivelser, såsom under løs bark på træer. Arten også jævnligt træffes udenfor skove hvor spind eksempelvis kan findes på carporte i havemiljøer.","Primarily woods, where it may appear to form colonies since many webs may be found close together. Webs are typically built on the outside of buildings or indoors in unheated sheds, then often in window frames where the light seeking behaviour of insects increase prey availability. Sometimes webs are also found under more natural conditions such as under loose bark. The species is also sometimes inhabit buildings in open country and in gardens.",,,"Vidt udbredt i Danmark men lokal. Mangler i Nord- og Vestjylland. Vidt udbredt og nogenlunde almindelig i det meste af Europa.","Widespread in Denmark but local. Widespread and fairly common in most of Europe.",,
263,828,"agrestis","(Walckenaer, 1802)","Ruderat husedderkop","Hobo Spider",,,"Forkrop brun med ikke særlig skarpt afsatte gulbrune midter- og side bånd dannet af lyse hår. Hovedet har færre lyse hår og fremtræder mørkere. Bagkrop mørkegrå spættet med lyse hår. I midten ses som regel en række tydelige trekantede- eller pileformede lyse tegninger, som er karakteristisk for arten. Benene er ensfarvede brune. Brystpladen med lys midtertegning som smalner til bagtil. De laterale pletter  på sternum er utydelige hos denne art. <i>Tegenaria agrestis</i> spinder nogle karakteristiske ægkokoner. Den skiveformede ægsæk er omgivet af et lag småsten og sand, eventuelt jord hvis småsten mangler i habitaten (se billede nedenfor). Yderst er et tyndt lag silke. Kokonerne er påfaldende tunge, de jordomgivne dog nok kun tunge i regnvejr, hvor jorden har opsuget vand. De specielle kokoner kan afsløre artens tilstedeværelse i vinterperioden, hvor der er færre voksne hunner og ingen hanner.","Carapace brown with indistinct yellow-brown median and lateral bands composed of ligth hairs. Head region is clothed less densely and appear darker. Abdomen dark grey mottled with light hairs. In the median line there is a row of triangular or arrow-shaped markings, which usually are distinct and characteristic for the the species. Legs uniform brown. Sternum with wide median light marking which narrows posteriorly. Lateral dots on sternum indistinct. The species produce characteristics eggsacks. The disc shaped sac is sorrounded by a layer of small stones and sand alternatively mineral soil depending on availability at habitat and has an outer layer of silk. The eggsacks with sand and stones are remarkably heavy.","9-10","10-12","Den forekommer på to typer habitater, ruderater og noget sjældnere i skov. I samme habitater ses ofte en anden husedderkoppeart, Stor Husedderkop (<i>Tegenaria atrica</i>).","The species occur at two different habitats, forests and waste ground (or similar places with low vegetation). The species co-occur with another <i>Tegenaria</i> species (<i>Tegenaria atrica</i>) at both habitat types.",,,"<i>Tegenaria agrestis</i> er en ny husedderkoppeart art i Danmark, der blev fundet for første gang i 2003. Indtil videre (dec. 2005) er den kendt fra fire lokaliteter i Østjylland samt fra Nyborg, København og den nyanlagte ø, Peberholm i Øresund. Arten har utvivlsomt spredt sig til mange andre lokaliteter og landsdele. Det første fund af arten blev gjort i bøgeskov (Ravn Skov ved Hov), hvor en hun blev taget i hulrum i bøgestub. Andre fund blev senere gjort på havneruderater i Horsens, Hov,  Århus og København, hvor arten er set i mængde. Arten er vidt udbredt i Europa og almindelig lokalt.","<i>Tegenaria agrestis</i> is a new species in Denmark. It was recorded for the first time in 2003, and is presently (Dec., 2005) known from at least seven localities. Undoubtedly, it has arrived at many other localities as well. The first Danish sighting of this species was made in a beech forest, where one female were found under bark, while subsequent sightings have been made on waste grounds in the ports of Århus, Hov and Horsens and in Copenhagen where the species seem to be numerous. Locally common in northern and central Europe.",,
264,76,"domestica","(Clerck, 1757) ","Lille husedderkop","Barn funnel weaver","Arten anlægger et trekantet tæppespind som buer nedad i midten og som er forsynet med lodrette og skæve spærretråde som gør det vanskeligere for byttedyr at slippe væk (Nielsen, 1928). Spindet står i forbindelse med en rørformet retræte hvor edderkoppen sidder i mundingen. Forstyrres edderkoppen løber den ned røret og gemmer sig på spindets underside. Hannen opsøger hunnens spind i parringstiden (maj-juni) og parringen foregår i retræten. Hunnen ophænger en til flere hvidlige ægsække i fangnettet eller spinder dem fast til vægge eller loft. Undertiden ophænges de i silketråde og hænger som poser fra loftet. Ægsækkene er som regel beklædt med fremmedlegemer såsom byttedyrs rester.",,"Han og hun ret ens i farvetegninger. Forkrop gråbrun med brede uregelmæssige bånd i midten og i siderne. Bagkrop lyst gulbrun med lysegrå utydelige tegninger, der bagerst i midtlinien danner svage sildebenstegninger. Hele edderkoppen er tæt beklædt med hår. Hårene er ret lange, især på bagkroppen og i hovedregionen. Ben med svage ringtegninger. Den mørke brystplade har et smalt lyst midterbånd, flankeret i hver side af tre ret utydelige pletter.","Male and female with similar in general appearance. Carapace greyish-brown with wide irregular bands in median line and sides. Abdomen light yellowish-brown with light grey indistinct markings forming vague chevrons at rear. The whole spider is clothed with long hairs, particurlarly the head region and the abdomen. Legs with faint annulations. Sternum dark with a narrow light median band flanked by three pairs of rather indistinct spots.","6-9","8-11","I Nordeuropa træffes arten stort set udelukkende indendørs. I resten af Europa  træffes arten også udendørs i murbrokker, under sten og lignende steder.","Mainly indoors in heated houses in northern Europe. The species is also found outdoors to the south of this region in brick rubbish, under stones etc.","I Danmark træffes arten stort set udelukkende indendørs.","Almost exclusively in houses, rarely outdoors.","Lille husedderkop er kosmopolitisk udbredt, i det arten forkommer i huse under næsten alle klimatiske forhold.","<i>Tegenaria domestica</i> is virtually cosmopolitan in distribution and occurs in houses in almost all climates.","Kendt fra stort set hele Danmark men arten er  betydeligt sjældnere end stor husedderkop <i>T. atrica</i>. Lille husedderkop har muligvis været mere almindelig før mejeredderkoppen <i>Pholcus phalangioides</i> indvandrede. De to arter deler habitat, og det kan tænkes at <i>P. phalangioides</i> har udryddet bestande af lille husedderkop ved direkte predation.  Lille husedderkop er kosmopolitisk udbredt, i det arten forkommer i huse under næsten alle klimatiske forhold.","Known from most of Denmark but the species is much rarar than <i>T. atrica</i>. It may have been commoner in the past before the introduction of <i>Pholcus phalangioides</i>. The two species share the same habitat and it is possibly that <i>T. domestica</i> has gone extinct in some houses due to predation from <i>P. phalangioides</i>. <i>Tegenaria domestica</i> is virtually cosmopolitan in distribution and occurs in houses in almost all climates."
268,77,"torpida","(C. L. Koch, 1837) ",,,,,,,,,,,,,"Formentlig nyindvandret art i Danmark som indtil videre kun er kendt fra Rødbyhavn.",,,
